epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,758.337,1.13558,0.86798,1.25442,0.79856,0.8229,0.82832,0.62431,1.42027,1.06027,1.50117,0.000577782,0.000577782,0.000577782
68,769.862,1.13203,0.86075,1.24859,0.82287,0.82853,0.83663,0.63857,1.37764,1.07048,1.50344,0.000561279,0.000561279,0.000561279
69,780.996,1.13358,0.85571,1.25039,0.84755,0.79813,0.83736,0.64634,1.37638,1.03351,1.49377,0.000544776,0.000544776,0.000544776
70,792.323,1.11291,0.87754,1.24535,0.83389,0.82148,0.83653,0.63426,1.3604,1.04774,1.49494,0.000528272,0.000528272,0.000528272
71,803.569,1.11188,0.86395,1.24816,0.85066,0.7866,0.83284,0.63729,1.37719,1.05284,1.50073,0.000511769,0.000511769,0.000511769
72,814.902,1.10868,0.83708,1.24349,0.84323,0.79131,0.83059,0.63765,1.35133,1.11527,1.45495,0.000495266,0.000495266,0.000495266
73,826.159,1.1046,0.84429,1.24159,0.81717,0.81017,0.83322,0.62678,1.39825,1.05984,1.50688,0.000478762,0.000478762,0.000478762
74,837.491,1.10724,0.83896,1.24147,0.85605,0.7887,0.82803,0.63633,1.34613,1.08279,1.4403,0.000462259,0.000462259,0.000462259
75,848.979,1.0833,0.82775,1.23551,0.84442,0.80645,0.83461,0.62903,1.31153,1.08996,1.42472,0.000445756,0.000445756,0.000445756
76,860.198,1.07648,0.81053,1.22775,0.82461,0.82134,0.83571,0.6395,1.36097,0.99981,1.47248,0.000429253,0.000429253,0.000429253
77,871.596,1.09545,0.83852,1.23467,0.82062,0.8193,0.84047,0.64108,1.37388,0.98526,1.47492,0.000412749,0.000412749,0.000412749
78,882.977,1.09663,0.82801,1.23209,0.81076,0.84367,0.8459,0.64467,1.34414,0.96998,1.46385,0.000396246,0.000396246,0.000396246
79,894.106,1.05758,0.80191,1.20974,0.85058,0.81017,0.84564,0.64311,1.36685,1.04778,1.47189,0.000379743,0.000379743,0.000379743
80,905.307,1.08499,0.8148,1.2238,0.85629,0.81141,0.843,0.64792,1.36133,0.98628,1.48106,0.000363239,0.000363239,0.000363239
81,916.694,1.08365,0.80973,1.21352,0.83683,0.82034,0.84028,0.6473,1.4104,1.03224,1.51,0.000346736,0.000346736,0.000346736
82,927.915,1.05237,0.79166,1.2188,0.84199,0.81546,0.83961,0.63643,1.39843,1.01539,1.49509,0.000330233,0.000330233,0.000330233
83,939.079,1.04131,0.77855,1.19678,0.81955,0.83376,0.83414,0.63613,1.38538,1.03757,1.50958,0.000313729,0.000313729,0.000313729
84,950.447,1.06357,0.79175,1.20906,0.81726,0.82878,0.83359,0.63618,1.35936,1.01542,1.4982,0.000297226,0.000297226,0.000297226
85,961.83,1.0545,0.79396,1.20823,0.82369,0.81762,0.83641,0.64174,1.36516,1.01611,1.5054,0.000280723,0.000280723,0.000280723
86,973.076,1.03436,0.76976,1.19171,0.83243,0.80397,0.8328,0.64211,1.34585,1.0277,1.48997,0.00026422,0.00026422,0.00026422
87,984.343,1.03262,0.76648,1.18896,0.84561,0.80769,0.83432,0.63549,1.37008,1.03081,1.50883,0.000247716,0.000247716,0.000247716
88,995.501,1.04522,0.77711,1.20661,0.82731,0.81762,0.83627,0.64439,1.34871,1.0478,1.46525,0.000231213,0.000231213,0.000231213
89,1006.94,1.01817,0.75269,1.18154,0.83449,0.83126,0.84144,0.64462,1.37021,1.02148,1.49893,0.00021471,0.00021471,0.00021471
90,1018.26,1.00607,0.74472,1.18223,0.83705,0.82258,0.84299,0.64607,1.38444,1.00221,1.49666,0.000198206,0.000198206,0.000198206
91,1030.87,0.98534,0.71821,1.18493,0.84584,0.8263,0.8439,0.64401,1.39197,1.00759,1.50679,0.000181703,0.000181703,0.000181703
92,1042.23,0.96006,0.69576,1.16686,0.85042,0.81725,0.84492,0.64737,1.36548,1.01179,1.48833,0.0001652,0.0001652,0.0001652
93,1053.38,0.97019,0.69034,1.175,0.8424,0.8261,0.84376,0.65053,1.34623,0.99072,1.47324,0.000148696,0.000148696,0.000148696
94,1064.59,0.95288,0.68734,1.16762,0.82068,0.83961,0.8452,0.65014,1.35462,0.99206,1.48793,0.000132193,0.000132193,0.000132193
95,1075.83,0.94244,0.67137,1.16231,0.83852,0.82754,0.84542,0.64845,1.36922,0.96197,1.49712,0.00011569,0.00011569,0.00011569
96,1087.03,0.92608,0.65741,1.1494,0.84551,0.8263,0.84723,0.64784,1.35667,0.98812,1.49892,9.91865e-05,9.91865e-05,9.91865e-05
97,1098.23,0.92891,0.65804,1.14738,0.83742,0.82826,0.84637,0.65284,1.36019,0.99479,1.50379,8.26832e-05,8.26832e-05,8.26832e-05
98,1109.55,0.92891,0.65732,1.1527,0.84844,0.8201,0.84689,0.65151,1.34835,0.98259,1.49505,6.61799e-05,6.61799e-05,6.61799e-05
99,1120.68,0.91974,0.66109,1.14049,0.84381,0.83002,0.84688,0.64868,1.35681,0.98446,1.49701,4.96766e-05,4.96766e-05,4.96766e-05
100,1131.84,0.91006,0.64851,1.13268,0.85491,0.8201,0.84764,0.65337,1.33063,0.97389,1.48024,3.31733e-05,3.31733e-05,3.31733e-05
